model,dataset,T,n,median_tokens,mean_tokens,median_chars,median_words,p90_tokens,acc
gemma2_instruct,nq,0.1,3000,5.0,6.149333333333334,12.0,2.0,11.0,0.29533333333333334
gemma2_instruct,nq,0.3,3000,5.0,6.143666666666666,12.0,2.0,11.0,0.292
gemma2_instruct,nq,0.5,3000,5.0,6.1226666666666665,12.0,2.0,11.0,0.291
gemma2_instruct,nq,0.7,3000,5.0,6.033,12.0,2.0,11.0,0.2856666666666667
gemma2_instruct,nq,1.0,3000,5.0,5.945,12.0,2.0,11.0,0.2806666666666667
gemma2_instruct,nq,1.5,3000,5.0,5.878666666666667,12.0,2.0,11.0,0.285
gemma2_instruct,nq,2.0,3000,5.0,5.91,12.0,2.0,11.0,0.269
gemma2_instruct,triviaqa,0.1,5000,4.0,4.144,11.0,2.0,7.0,0.6124
gemma2_instruct,triviaqa,0.3,5000,4.0,4.1628,11.0,2.0,6.0,0.6098
gemma2_instruct,triviaqa,0.5,5000,4.0,4.1688,11.0,2.0,7.0,0.6066
gemma2_instruct,triviaqa,0.7,5000,4.0,4.11,10.0,2.0,6.0,0.6058
gemma2_instruct,triviaqa,1.0,5000,4.0,4.1376,11.0,2.0,6.0,0.6004
gemma2_instruct,triviaqa,1.5,5000,4.0,4.1322,11.0,2.0,6.0,0.587
gemma2_instruct,triviaqa,2.0,5000,4.0,4.1428,11.0,2.0,6.0,0.5866
llama3_base,nq,0.1,3000,4.0,8.353666666666667,11.0,2.0,16.0,0.21533333333333332
llama3_base,nq,0.3,3000,4.0,7.9366666666666665,11.0,2.0,15.0,0.208
llama3_base,nq,0.5,3000,4.0,7.992666666666667,11.0,2.0,16.0,0.18566666666666667
llama3_base,nq,0.7,3000,4.0,8.121333333333334,11.0,2.0,17.0,0.156
llama3_base,nq,1.0,3000,4.0,8.448666666666666,12.0,2.0,18.0,0.13933333333333334
llama3_base,nq,1.5,3000,5.0,8.867666666666667,13.0,2.0,19.0,0.10466666666666667
llama3_base,nq,2.0,3000,5.0,9.19,13.0,2.0,20.0,0.101
llama3_base,triviaqa,0.1,5000,4.0,5.2194,11.0,2.0,7.0,0.5922
llama3_base,triviaqa,0.3,5000,4.0,5.141,11.0,2.0,8.0,0.5712
llama3_base,triviaqa,0.5,5000,4.0,5.3424,11.0,2.0,8.0,0.5394
llama3_base,triviaqa,0.7,5000,4.0,5.5406,11.0,2.0,9.0,0.4986
llama3_base,triviaqa,1.0,5000,4.0,5.9856,11.0,2.0,10.0,0.4284
llama3_base,triviaqa,1.5,5000,4.0,6.391,12.0,2.0,13.0,0.366
llama3_base,triviaqa,2.0,5000,4.0,6.7632,12.0,2.0,14.0,0.3362
llama3_instruct,nq,0.1,3001,4.0,7.6144618460513165,13.0,2.0,19.0,0.23492169276907698
llama3_instruct,nq,0.3,3001,4.0,7.542152615794735,13.0,2.0,19.0,0.23258913695434855
llama3_instruct,nq,0.5,3000,4.0,7.635666666666666,13.0,2.0,19.0,0.225
llama3_instruct,nq,0.7,3000,4.0,7.527333333333333,13.0,2.0,18.0,0.22133333333333333
llama3_instruct,nq,1.0,3000,4.0,7.533333333333333,13.0,2.0,18.0,0.21866666666666668
llama3_instruct,nq,1.5,3000,4.0,7.9013333333333335,14.0,2.0,20.0,0.204
llama3_instruct,nq,2.0,3000,4.0,7.97,14.0,2.0,20.0,0.201
llama3_instruct,triviaqa,0.1,5001,3.0,4.164767046590682,11.0,2.0,7.0,0.5650869826034793
llama3_instruct,triviaqa,0.3,5001,3.0,4.151569686062787,11.0,2.0,7.0,0.5624875024995001
llama3_instruct,triviaqa,0.5,5001,3.0,4.169366126774645,11.0,2.0,7.0,0.5604879024195161
llama3_instruct,triviaqa,0.7,5001,3.0,4.170965806838632,11.0,2.0,7.0,0.5480903819236153
llama3_instruct,triviaqa,1.0,5000,3.0,4.2034,11.0,2.0,7.0,0.5434
llama3_instruct,triviaqa,1.5,5000,3.0,4.3626,11.0,2.0,7.0,0.5264
llama3_instruct,triviaqa,2.0,5000,3.0,4.3394,11.0,2.0,7.0,0.519
mistral_instruct,nq,0.1,3000,16.0,20.362,53.0,9.0,48.0,0.11233333333333333
mistral_instruct,nq,0.3,3000,16.0,20.628666666666668,53.0,9.0,50.0,0.11233333333333333
mistral_instruct,nq,0.5,3000,17.0,21.133,55.0,10.0,51.0,0.10766666666666666
mistral_instruct,nq,0.7,3000,16.0,21.042333333333332,54.0,9.0,50.0,0.10733333333333334
mistral_instruct,nq,1.0,3000,17.0,21.677333333333333,55.0,10.0,53.0,0.10366666666666667
mistral_instruct,nq,1.5,3000,18.0,23.094,58.0,10.0,58.0,0.09733333333333333
mistral_instruct,nq,2.0,3000,18.0,23.199666666666666,59.0,10.0,59.0,0.1
mistral_instruct,triviaqa,0.1,5000,4.0,9.9006,14.0,2.0,27.0,0.4452
mistral_instruct,triviaqa,0.3,5000,4.0,9.9154,14.0,2.0,27.0,0.4428
mistral_instruct,triviaqa,0.5,5000,4.0,10.3432,15.0,2.0,29.0,0.4376
mistral_instruct,triviaqa,0.7,5000,4.0,10.9412,15.0,2.0,32.0,0.4348
mistral_instruct,triviaqa,1.0,5000,5.0,10.9046,15.0,2.0,30.100000000000364,0.4274
mistral_instruct,triviaqa,1.5,5000,5.0,11.457,15.0,2.0,34.0,0.4206
mistral_instruct,triviaqa,2.0,5000,5.0,12.0232,15.0,2.0,36.0,0.4104
